Route,Year,x,y,Effort,Habitat,JunJul,DJF,AprMay,Phylloscopus_trochilus,Turdus_iliacus,Fringilla_coelebs,Turdus_philomelos,Carduelis_spinus,Parus_major,Anthus_trivialis,Erithacus_rubecula,Cuculus_canorus,Muscicapa_striata,Ficedula_hypoleuca,Turdus_pilaris,Loxia_curvirostra,Columba_palumbus,Sylvia_borin,Corvus_corone,Dendrocopos_major,Emberiza_citrinella,Turdus_merula,Sylvia_curruca,Regulus_regulus,Prunella_modularis,Phoenicurus_phoenicurus,Parus_caeruleus,Parus_montanus,Motacilla_alba,Carduelis_chloris,Phylloscopus_collybita,Tringa_ochropus,Parus_cristatus,Sylvia_communis,Grus_grus,Larus_canus,Pica_pica,Phylloscopus_sibilatrix,Turdus_viscivorus,Hirundo_rustica,Sylvia_atricapilla,Tetrao_tetrix,Pyrrhula_pyrrhula,Dryocopus_martius,Certhia_familiaris,Alauda_arvensis,Corvus_corax,Saxicola_rubetra,Garrulus_glandarius,Numenius_arquata,Carpodacus_erythrinus,Gallinago_gallinago,Corvus_monedula
33,2014,5192.400000000001,4232.3,6000,Co,17.397,-1.9876,7.59065,30,2,24,7,7,5,11,7,3,3,4,14,3,2,7,3,6,3,7,4,13,0,0,4,1,1,1,1,0,2,4,1,5,0,6,1,3,4,0,1,1,2,2,3,0,2,0,1,4,3
34,2013,5177.6,4237.3,6000,Urb,15.664,-5.0622,7.9945,21,1,40,5,4,13,0,9,0,0,1,12,2,15,9,10,3,3,4,2,1,1,5,16,0,8,4,1,0,0,14,0,10,8,3,0,1,2,0,0,0,2,5,1,0,0,0,3,0,22
34,2012,5177.6,4237.3,6000,Urb,18.734,-3.5315,7.12235,36,1,51,8,1,22,0,14,0,0,0,15,0,21,13,10,1,5,2,1,3,1,2,12,0,7,6,0,0,0,20,0,9,7,1,0,0,2,0,0,0,1,4,0,0,0,0,1,0,31
34,2009,5177.6,4237.3,5450,Urb,15.566,-2.7333,7.48035,38,9,36,6,3,27,1,10,1,0,3,14,0,9,14,7,0,5,2,1,5,0,1,7,1,6,16,0,0,1,14,0,3,8,7,0,1,3,0,0,0,1,5,0,0,1,0,3,0,8
34,2011,5177.6,4237.3,6000,Urb,18.477,-8.5533,8.07965,42,6,40,8,4,17,0,7,0,0,3,11,0,9,12,11,4,5,5,1,3,1,3,14,0,12,12,0,0,0,12,0,25,3,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,28
34,2014,5177.6,4237.3,6000,Urb,17.684,-2.2921,8.074,26,2,22,9,4,26,0,9,3,0,6,17,0,10,14,10,1,4,5,2,9,0,2,10,0,11,16,0,0,1,13,0,4,7,7,0,2,2,0,0,1,2,8,1,0,0,0,2,0,23
35,2011,4850.400000000001,4155.,6000,Co,15.046,-3.6244,5.44965,35,3,61,10,22,10,11,15,4,5,0,0,6,9,1,4,1,12,11,1,5,3,0,1,0,1,2,2,3,0,2,1,1,0,0,2,0,7,0,0,0,2,0,0,0,1,0,0,2,0
35,2012,4850.400000000001,4155.,6000,Co,15.864,0.24157,4.9679,34,9,67,18,20,14,12,28,4,5,0,0,9,9,4,2,2,14,16,3,16,4,0,4,0,0,0,6,4,0,0,2,0,0,0,5,0,10,3,0,1,2,0,2,0,0,0,0,1,0
35,2014,4850.400000000001,4155.,6000,Co,14.298,1.2944,5.70075,38,2,54,17,7,12,17,15,3,7,2,0,6,10,5,3,3,10,12,2,13,2,1,5,2,1,0,9,2,2,0,1,0,0,3,2,0,6,2,0,0,3,0,3,0,0,0,0,2,0
35,2013,4850.400000000001,4155.,6000,Co,13.534,-1.4844,5.8153,31,5,63,20,13,14,11,25,3,3,0,0,7,6,2,2,1,8,12,0,7,4,0,1,0,0,0,5,1,1,1,1,0,0,1,3,0,7,0,0,0,1,0,0,0,0,0,0,1,0
35,2008,4850.400000000001,4155.,6000,Co,14.318,2.7187,5.88295,21,0,35,7,8,14,12,13,2,7,0,0,10,6,2,0,2,6,10,3,8,1,1,0,0,0,1,5,4,0,2,1,2,0,1,6,0,5,0,0,1,2,0,0,0,1,0,0,1,0
36,2013,4870.1,4160.2,6700,Br,14.243,-3.0744,7.5865,29,3,66,19,3,23,6,16,1,5,6,8,1,15,7,5,2,28,16,0,3,2,1,12,0,2,8,12,0,0,11,1,16,5,1,0,8,10,0,0,0,1,27,0,2,0,3,0,0,6
36,2009,4870.1,4160.2,6600,Br,15.444,-1.0778,7.26665,21,5,39,8,8,17,12,13,6,2,2,2,1,11,4,10,3,17,11,1,3,0,0,12,0,2,10,17,0,0,7,5,17,4,0,0,0,4,0,1,2,0,22,2,0,0,4,0,0,7
36,2011,4870.1,4160.2,6650,Br,16.262,-5.69,7.5682,27,4,59,11,13,31,5,20,4,3,2,5,1,16,14,15,4,24,24,1,1,0,0,13,0,2,6,12,2,0,15,2,1,5,0,0,3,6,0,0,1,0,21,2,3,0,3,0,0,3
36,2012,4870.1,4160.2,7000,Br,17.116,-1.327,6.26145,24,2,69,11,11,23,5,18,2,3,2,7,0,12,11,8,5,23,18,1,8,5,0,13,0,2,5,12,0,1,11,1,1,5,0,1,10,8,0,0,0,2,19,1,3,0,3,0,0,9
36,2008,4870.1,4160.2,6500,Br,15.344,1.7527,7.1486,14,2,29,8,4,10,6,11,0,2,2,7,0,4,8,9,5,11,8,0,3,0,0,5,0,0,6,9,0,0,9,1,1,4,1,0,2,2,0,0,1,0,10,0,2,1,3,0,0,1
37,2013,4873.5,4161.3,6200,Urb,14.336,-2.6233,7.35985,16,1,55,11,11,13,8,11,1,6,8,7,4,8,5,9,4,9,14,1,6,0,1,8,0,3,2,4,0,2,7,0,13,2,1,0,10,2,1,0,1,3,13,0,1,1,0,0,0,5
37,2009,4873.5,4161.3,6150,Urb,15.602,-0.70556,7.11585,17,5,38,12,16,16,3,15,0,3,2,1,2,11,2,4,1,8,13,1,8,0,2,5,0,5,4,8,0,0,6,0,7,1,0,1,5,2,0,0,0,3,12,0,1,1,1,0,0,2
37,2014,4873.5,4161.3,6200,Urb,15.289,0.58764,6.9176,17,3,41,10,9,12,9,15,0,5,7,7,2,3,1,3,0,6,10,2,8,3,2,5,0,1,3,2,0,0,4,2,5,6,5,0,8,3,0,0,0,2,10,2,1,0,0,0,1,8
37,2008,4873.5,4161.3,6200,Urb,15.466,2.0604,7.1826,18,0,46,10,8,14,1,13,3,6,5,1,0,9,2,8,3,6,12,3,13,0,0,5,0,5,7,5,0,1,10,0,0,3,5,1,3,4,0,0,3,0,9,1,0,0,0,0,0,2
37,2012,4873.5,4161.3,6150,Urb,17.251,-0.97191,6.2907,17,7,59,13,14,21,7,18,2,6,2,4,1,4,3,10,5,9,12,0,10,2,0,7,0,5,3,3,0,0,6,0,0,3,0,0,4,7,0,0,0,2,16,1,1,0,0,0,1,0
38,2013,4865.,4174.2,5900,Op,14.052,-2.5,6.8525,24,1,46,11,12,16,8,9,0,4,1,6,8,18,10,8,4,13,13,3,4,1,3,5,0,6,3,4,0,1,3,1,14,5,1,0,3,3,0,0,0,0,6,2,2,0,0,0,0,4
38,2014,4865.,4174.2,6000,Op,14.872,0.50899,6.49435,30,1,45,10,7,13,13,13,3,8,4,5,2,6,4,5,1,9,8,2,4,3,5,6,0,2,1,2,0,0,7,1,3,4,0,0,4,4,0,0,2,2,13,2,3,0,2,0,0,0
38,2011,4865.,4174.2,6050,Op,15.702,-5.2267,6.74665,25,3,56,10,13,15,6,11,3,10,6,11,1,9,6,5,0,14,10,3,4,0,0,6,0,4,4,1,0,1,8,1,1,0,1,1,2,3,0,1,4,2,10,0,2,0,0,2,0,0
38,2008,4865.,4174.2,5900,Op,14.934,2.0352,6.69285,22,1,43,5,8,10,4,11,2,4,1,3,5,7,9,6,7,11,13,0,9,1,0,3,0,4,5,1,0,0,7,1,4,1,0,1,0,3,0,0,1,0,11,1,2,0,2,1,0,2
39,2011,4871.2,4177.8,6000,Op,15.928,-5.5178,6.93585,36,1,48,13,24,14,14,16,3,7,5,3,1,14,6,11,5,16,12,0,4,0,10,5,0,4,5,0,0,1,8,4,4,2,0,0,1,4,0,0,2,0,9,0,1,0,0,0,0,4
39,2013,4871.2,4177.8,6000,Op,14.243,-2.63,7.074,35,1,57,14,10,19,19,11,4,6,1,1,3,18,5,13,7,11,16,0,0,0,9,6,0,5,3,1,1,2,3,4,11,4,1,1,4,2,0,0,0,1,10,0,0,2,0,0,0,11
39,2008,4871.2,4177.8,6000,Op,15.154,1.9615,6.91695,21,0,33,7,5,16,13,10,5,4,1,5,4,5,5,7,1,11,10,5,7,0,2,2,0,2,6,1,0,0,6,3,9,1,0,1,0,1,0,1,0,0,3,2,0,0,0,0,0,2
39,2014,4871.2,4177.8,6000,Op,15.056,0.37753,6.69805,32,2,47,13,11,11,13,12,4,3,3,4,2,9,8,12,0,12,10,6,2,1,4,5,1,3,2,1,1,1,4,1,5,3,0,2,2,2,0,0,0,1,9,1,0,0,0,0,0,4
39,2012,4871.2,4177.8,6000,Op,16.97,-1.109,5.9728,26,3,61,10,16,20,25,14,5,4,2,0,0,5,10,6,6,13,15,5,4,1,1,6,1,7,3,2,0,2,5,0,4,2,0,3,3,5,3,2,0,1,11,1,0,0,0,0,0,3
43,2010,4975.6,4202.2,6000,Urb,15.152,-6.7189,7.09465,28,12,54,14,7,23,19,14,3,5,15,14,2,16,11,12,2,19,11,4,4,0,3,11,0,2,4,3,0,4,10,0,2,0,0,0,7,5,0,0,1,1,6,2,1,1,0,6,1,0
43,2013,4975.6,4202.2,6000,Urb,15.205,-3.8822,7.36665,40,8,62,6,16,23,14,11,0,5,10,14,2,19,12,5,12,22,22,2,4,0,2,10,0,8,3,1,0,2,8,1,4,2,2,1,2,2,0,0,0,2,3,2,0,1,0,1,0,0
43,2011,4975.6,4202.2,6000,Urb,17.393,-6.9456,7.0608,35,10,42,10,15,29,10,12,3,5,13,6,1,15,13,11,9,27,14,3,3,0,1,9,1,4,4,0,0,6,6,0,0,1,3,1,0,2,0,0,1,2,6,3,1,1,0,2,1,0
43,2014,4975.6,4202.2,6000,Urb,16.833,-0.83933,7.52275,25,3,43,10,1,15,7,5,3,4,1,9,1,9,6,0,7,12,8,2,5,0,0,6,2,4,4,1,0,4,5,1,1,4,0,1,3,1,0,0,1,0,4,7,1,1,0,0,0,0
44,2010,4992.1,4207.4,7400,Urb,15.526,-7.3833,8.01935,5,0,12,1,0,14,0,1,0,0,4,23,0,9,4,4,0,0,2,1,0,0,2,5,0,15,3,0,0,0,9,0,1,8,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,19
44,2008,4992.1,4207.4,7400,Urb,16.639,1.1835,8.53585,5,0,16,0,0,13,0,0,0,0,5,9,0,6,4,5,1,0,7,1,0,0,2,5,0,16,18,0,0,0,10,0,5,8,0,0,5,2,0,0,0,0,5,0,0,0,0,2,0,11
44,2011,4992.1,4207.4,7400,Urb,18.013,-7.3878,7.94265,1,0,20,0,0,11,0,1,0,0,4,25,0,19,5,8,0,0,6,1,0,0,0,5,0,12,12,0,0,0,7,0,7,11,0,0,1,3,0,0,1,0,10,0,0,0,0,1,0,8
44,2009,4992.1,4207.4,7900,Urb,16.37,-2.2389,8.00535,3,0,19,0,2,11,0,1,0,1,3,30,0,17,4,6,1,0,7,1,0,0,0,3,0,9,16,1,0,0,10,0,6,8,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,11
44,2013,4992.1,4207.4,8000,Urb,15.472,-4.5011,8.40915,4,2,20,1,0,16,0,1,0,1,1,42,0,25,5,8,2,0,7,0,0,0,0,2,0,14,7,0,0,0,15,0,13,8,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,6
44,2012,4992.1,4207.4,7400,Urb,18.974,-2.5798,7.66615,3,1,22,0,1,16,0,0,0,0,4,27,0,19,9,11,1,0,7,0,0,0,1,1,0,11,8,0,0,0,10,0,5,7,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,10
44,2014,4992.1,4207.4,6300,Urb,17.459,-1.2337,8.256,4,2,23,3,1,11,0,3,0,1,2,47,0,32,7,6,4,0,7,2,0,0,1,5,0,8,15,2,0,0,8,0,10,10,1,0,1,7,0,0,0,0,5,0,0,0,0,1,0,7
45,2011,5014.5,4213.7,5400,Urb,17.661,-8.3833,7.54715,9,0,35,5,9,14,2,7,0,4,9,34,0,11,4,14,2,8,7,2,1,3,1,12,0,2,3,4,0,0,8,0,3,8,0,0,2,1,0,0,0,0,22,0,1,0,1,2,0,21
45,2012,5014.5,4213.7,5400,Urb,18.303,-3.5438,7.30715,10,4,40,10,10,12,1,7,1,2,8,30,1,10,5,9,3,3,7,16,2,0,0,7,0,7,7,2,1,3,2,0,2,11,1,0,3,2,0,0,0,0,25,0,0,0,1,1,0,25
45,2010,5014.5,4213.7,5400,Urb,14.982,-8.3411,7.666,17,2,27,8,2,17,3,4,1,1,5,19,3,9,2,13,3,8,8,2,2,1,2,5,0,7,11,2,0,1,9,0,4,10,0,0,4,3,0,0,0,1,27,0,6,2,3,2,0,19
45,2008,5014.5,4213.7,5900,Urb,16.141,0.67582,8.11335,18,3,27,4,2,19,2,5,1,2,12,25,0,13,1,13,6,9,12,5,5,0,0,8,1,10,17,1,1,1,16,1,0,9,0,0,5,1,0,0,0,0,35,0,2,1,1,2,0,9
45,2013,5014.5,4213.7,5400,Urb,15.093,-5.37,7.89935,10,1,47,4,6,12,1,4,2,1,11,50,3,10,4,14,3,9,9,0,0,0,1,13,0,8,7,1,0,0,15,0,9,8,0,0,0,1,0,1,0,1,26,0,1,1,0,1,0,46
46,2012,5040.8,4220.4,6000,Co,18.272,-3.8461,7.3385,36,4,60,23,8,21,21,28,3,4,5,1,5,21,4,0,5,21,17,3,10,3,0,6,1,2,1,10,0,1,2,1,0,0,4,2,2,8,3,2,0,4,5,0,0,0,0,0,0,0
46,2014,5040.8,4220.4,6000,Co,17.177,-2.0326,8.00765,48,6,59,10,5,16,7,14,5,0,3,0,0,22,8,3,1,7,9,2,0,1,0,3,2,2,1,8,0,0,3,1,0,0,1,1,1,3,0,2,3,1,3,0,0,1,0,0,0,0
46,2006,5040.8,4220.4,6000,Co,16.105,-5.2356,7.11865,53,4,53,16,1,12,21,18,9,0,0,1,3,13,9,0,1,3,10,4,6,5,0,0,4,1,0,8,1,1,2,1,0,1,2,1,0,5,0,0,1,2,0,2,0,2,0,0,0,0
46,2013,5040.8,4220.4,6000,Co,15.087,-5.4467,8.14735,24,3,45,14,3,9,18,21,5,6,1,1,3,6,2,0,6,9,8,1,5,12,0,3,2,0,0,7,0,1,0,0,0,0,6,0,4,4,2,1,0,4,4,2,0,2,0,0,0,0
46,2010,5040.8,4220.4,6000,Co,15.03,-8.5856,7.80285,38,4,36,11,8,7,14,3,4,0,3,0,5,12,8,0,0,3,14,1,0,2,0,5,1,0,1,11,1,0,1,1,0,0,1,0,0,5,1,0,1,2,2,1,0,0,0,0,0,0
47,2014,5064.8,4224.4,6470,Co,16.695,-2.7067,7.583,74,6,44,11,3,5,10,8,9,0,1,7,2,14,6,4,1,4,9,4,0,0,3,1,1,0,3,2,2,0,2,2,0,0,0,1,1,1,2,0,0,0,5,0,0,2,0,0,0,5
47,2013,5064.8,4224.4,6500,Co,14.666,-5.7389,7.78785,78,4,58,14,4,2,13,10,13,0,2,10,3,10,10,1,4,10,7,1,1,1,2,2,1,2,0,3,0,1,0,2,0,1,0,1,1,3,0,0,2,0,4,0,1,1,2,0,0,1
47,2007,5064.8,4224.4,6450,Co,16.844,-3.2389,7.34235,61,4,50,7,5,6,16,13,5,6,2,6,13,9,8,5,5,12,4,4,2,10,1,1,2,1,2,6,2,9,3,2,1,3,1,2,0,0,1,0,4,3,4,0,0,1,1,0,0,0
47,2009,5064.8,4224.4,6500,Co,15.328,-3.4367,7.5375,24,2,20,8,6,7,8,5,9,2,4,5,5,9,8,6,3,17,10,4,2,4,3,5,2,3,2,7,1,4,2,2,0,1,0,1,2,0,2,0,3,1,6,0,0,2,2,0,0,1
47,2012,5064.8,4224.4,6500,Co,18.146,-4.3112,6.878,25,1,20,1,3,4,6,3,1,0,0,6,1,3,2,1,1,9,2,0,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,5,2,0,0,1,0,0,2,0,2,1,0,1,0,0
49,2014,5113.400000000001,4238.5,6200,Co,17.077,-2.9112,7.92635,22,2,58,14,5,8,10,12,2,2,2,1,4,7,7,2,2,4,8,0,16,2,0,1,4,1,0,7,3,5,0,0,0,0,1,2,0,3,1,1,0,4,0,0,0,4,0,0,0,0
49,2012,5113.400000000001,4238.5,6200,Co,18.067,-4.5292,6.87485,19,2,59,13,7,9,7,17,4,1,1,1,6,13,2,1,2,3,12,2,7,4,0,0,1,1,0,5,0,3,1,1,1,1,1,0,1,1,0,0,0,1,0,2,0,3,0,0,0,0
49,2007,5113.400000000001,4238.5,6000,Co,16.77,-3.4556,7.36865,30,1,94,15,6,12,9,11,1,2,1,2,1,4,4,0,1,9,2,2,10,9,0,0,1,1,0,11,1,8,1,0,0,0,5,2,0,0,0,1,0,0,0,4,0,1,0,0,1,1
49,2013,5113.400000000001,4238.5,6200,Co,15.046,-5.7844,7.77685,30,4,63,12,7,8,9,7,2,6,3,0,3,12,3,0,4,2,7,0,3,4,0,2,3,0,0,1,3,4,1,2,1,1,2,0,1,2,2,1,0,5,0,1,0,2,0,0,0,0
49,2010,5113.400000000001,4238.5,6000,Co,14.774,-9.6233,7.5575,27,10,66,9,15,17,12,19,1,4,2,4,3,12,8,1,0,1,7,3,4,1,0,0,0,0,1,9,3,2,0,0,0,0,3,1,1,0,0,1,3,1,0,4,0,2,0,0,0,0
50,2011,5137.5,4244.4,6000,Urb,18.287,-9.2033,8.59285,12,2,35,7,4,9,9,13,1,0,4,2,0,4,5,6,3,22,8,2,1,1,2,4,2,3,4,0,0,0,10,1,0,4,0,0,0,3,2,0,0,0,25,0,4,0,1,0,0,5
50,2010,5137.5,4244.4,6000,Urb,15.179,-9.69,8.0585,19,4,39,9,4,11,13,2,4,3,6,10,2,7,6,10,2,17,14,3,3,3,0,5,0,0,4,0,1,1,3,1,1,2,0,0,2,0,0,0,0,0,20,0,5,0,2,0,0,5
50,2014,5137.5,4244.4,6400,Urb,17.348,-2.8787,8.12665,22,3,29,8,3,6,7,3,6,2,5,10,1,15,9,13,4,20,6,2,4,2,0,1,1,3,1,0,0,0,8,1,0,2,2,0,0,1,1,0,0,0,20,0,0,1,2,0,1,6
50,2006,5137.5,4244.4,5900,Urb,16.084,-6.6267,6.97515,30,5,31,5,3,11,5,12,4,3,2,11,6,12,11,1,4,23,14,0,5,5,0,3,1,5,9,0,0,0,2,0,1,1,2,0,2,0,0,0,0,1,10,0,1,1,0,0,2,4
51,2006,5161.900000000001,4250.5,6000,Br,16.192,-6.4656,6.831,22,3,42,8,11,6,25,22,13,2,2,4,7,6,6,0,3,15,11,0,2,2,0,3,5,1,8,5,4,1,5,1,4,2,2,1,2,2,5,1,1,0,9,1,0,0,1,0,0,0
51,2010,5161.900000000001,4250.5,6000,Br,15.42,-9.7867,8.27165,10,9,58,8,6,12,23,11,10,0,1,3,5,6,8,1,0,13,12,0,2,0,0,5,5,0,1,4,4,0,3,2,3,0,0,1,0,0,5,3,3,0,7,0,1,1,0,1,0,0
51,2011,5161.900000000001,4250.5,6000,Br,18.593,-9.2022,8.76265,16,7,57,10,5,7,10,10,2,4,2,10,1,19,10,3,7,10,12,2,5,2,0,9,5,7,5,2,1,1,2,1,1,0,0,1,1,1,2,0,1,0,10,0,1,2,0,0,0,0
51,2014,5161.900000000001,4250.5,6100,Br,17.693,-2.7618,8.34615,18,9,55,6,6,12,17,6,8,2,3,5,2,13,6,3,3,7,9,1,0,0,0,0,0,1,1,3,0,0,3,3,0,0,5,8,3,1,10,0,0,0,9,0,0,1,0,0,1,0
52,2014,5186.1,4256.6,6000,Co,17.692,-2.6787,8.259,61,10,74,10,11,9,23,28,12,7,0,1,3,8,11,2,5,7,15,0,21,11,0,4,4,2,0,10,4,3,1,1,1,2,13,7,2,3,0,0,1,4,1,4,1,5,0,0,0,0
52,2011,5186.1,4256.6,6000,Co,18.574,-9.1022,8.50585,41,2,54,11,5,5,29,9,12,0,0,0,4,13,9,0,3,4,5,1,1,2,0,1,0,0,0,8,5,1,2,2,0,1,2,5,0,1,1,0,1,0,0,0,1,1,0,1,0,0
52,2012,5186.1,4256.6,6000,Co,18.731,-4.1978,7.25615,34,5,52,12,12,11,7,12,7,0,1,1,3,19,8,2,1,3,11,3,0,4,0,1,0,1,0,5,3,1,2,2,0,0,4,0,1,5,1,2,0,2,0,3,0,0,0,1,0,0
52,2008,5186.1,4256.6,6000,Co,16.125,0.062637,8.16735,54,9,69,18,7,4,27,15,12,5,1,1,1,11,9,1,7,10,8,5,9,14,2,3,6,0,4,4,2,1,0,0,0,0,3,1,1,0,0,1,0,2,0,5,0,0,1,0,0,0
53,2014,5210.400000000001,4262.6,6000,Br,17.643,-2.5562,7.98085,60,1,53,16,2,7,18,12,7,4,2,0,4,6,10,2,1,0,3,0,9,2,1,0,1,0,0,7,3,0,2,0,0,0,8,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0
53,2012,5210.400000000001,4262.6,6000,Br,18.559,-3.936,6.99165,23,2,53,4,8,3,15,19,1,1,4,0,0,4,3,0,0,2,3,3,4,1,0,0,4,0,0,0,0,1,0,1,0,0,3,0,0,1,1,1,2,0,0,0,0,1,0,0,1,0
53,2006,5210.400000000001,4262.6,6000,Br,16.293,-6.5911,6.872,57,2,43,12,4,8,11,15,8,4,1,0,7,4,5,0,0,1,8,2,7,7,0,0,3,6,0,2,3,3,0,0,0,0,2,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0
53,2009,5210.400000000001,4262.6,6000,Br,15.362,-3.1322,7.34165,37,2,52,10,20,11,29,9,9,10,1,0,7,8,4,0,3,2,14,1,4,10,1,3,2,1,0,4,2,1,0,1,0,0,1,0,0,0,3,0,0,2,0,1,1,1,0,0,3,0
53,2013,5210.400000000001,4262.6,6000,Br,15.6,-5.3989,7.8885,50,5,63,5,16,5,21,16,8,5,0,1,21,9,1,1,6,3,2,2,1,2,1,1,3,0,0,6,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0
54,2014,5233.900000000001,4267.1,6000,Br,17.654,-2.5607,7.85285,55,1,54,13,10,20,8,21,11,11,4,0,31,18,5,1,2,11,17,4,13,8,0,4,6,2,0,7,7,3,1,2,0,2,13,1,1,6,1,1,2,6,0,1,1,1,1,0,1,0
54,2010,5233.900000000001,4267.1,6000,Br,15.47,-9.5689,7.48285,44,9,68,24,10,14,11,27,13,4,1,1,2,16,9,0,7,4,16,1,7,3,3,3,0,6,0,5,2,3,0,1,0,0,7,1,1,3,0,2,0,1,0,1,0,0,0,1,0,0
54,2006,5233.900000000001,4267.1,6000,Br,16.548,-6.3611,6.89215,65,5,41,9,4,14,11,10,2,3,0,0,2,4,12,0,4,8,6,2,3,7,0,2,3,6,4,3,1,1,4,0,0,0,5,1,3,4,4,0,1,0,3,0,0,0,0,0,0,0
54,2011,5233.900000000001,4267.1,6000,Br,18.305,-8.9444,7.66565,78,3,70,16,7,15,10,29,8,1,1,6,3,6,8,4,5,6,16,1,3,9,0,4,1,6,0,8,1,0,1,1,2,2,7,5,1,8,0,1,0,1,0,1,0,0,0,0,0,0
55,2012,5259.,4274.6,6000,Co,18.256,-3.9652,6.4235,29,2,50,5,9,14,12,9,3,5,6,5,1,6,6,1,5,4,8,1,3,0,0,0,3,2,2,0,0,0,3,0,2,0,8,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0
55,2006,5259.,4274.6,6000,Co,16.575,-6.1878,6.5422,50,2,84,6,9,12,15,15,2,10,8,2,0,2,11,4,3,5,10,2,7,1,0,4,0,3,5,0,1,3,4,0,1,2,4,1,2,1,0,0,1,1,0,1,0,1,0,2,1,1
55,2011,5259.,4274.6,6000,Co,18.059,-9.1,7.06635,48,4,70,11,8,13,12,12,3,12,3,5,5,3,11,5,5,8,17,2,7,4,3,10,1,3,2,2,0,1,3,0,5,1,9,1,0,1,0,0,1,3,0,1,0,1,0,3,0,0
55,2013,5259.,4274.6,6000,Co,15.277,-5.5478,7.46265,46,1,64,7,19,12,26,12,8,7,8,4,4,11,15,10,13,12,5,4,0,2,1,4,2,3,0,0,0,1,7,0,0,1,4,0,3,2,0,0,0,0,0,0,0,2,0,2,1,0
55,2014,5259.,4274.6,6000,Co,17.546,-2.6303,7.48385,52,1,54,6,7,9,7,6,3,8,4,9,8,11,12,6,1,11,12,3,3,2,0,6,2,1,6,0,0,3,6,0,2,3,12,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0
59,2013,4962.7,4219.4,6000,Co,15.116,-4.02,7.59585,23,7,68,12,12,12,16,18,2,6,7,8,7,10,4,7,7,22,13,1,8,1,0,7,0,4,4,2,0,2,8,1,2,3,2,0,2,7,0,0,1,2,8,0,0,0,0,2,0,2
59,2009,4962.7,4219.4,6000,Co,15.587,-2.2756,7.35865,33,11,73,21,7,20,11,7,3,7,3,2,3,16,5,7,4,25,17,3,5,1,0,6,4,9,2,0,0,5,6,2,3,1,0,1,3,3,0,0,1,4,6,5,0,1,0,5,0,2
59,2011,4962.7,4219.4,6000,Co,16.985,-7.3522,7.16255,28,13,54,14,16,15,14,14,3,6,8,7,0,14,13,5,3,23,11,4,4,1,1,6,0,2,1,4,1,1,7,1,4,1,2,0,0,3,0,0,0,1,6,0,1,0,0,3,0,0
59,2014,4962.7,4219.4,6000,Co,16.423,-1.1079,7.5556,51,14,97,10,13,16,25,14,8,8,2,14,1,21,22,6,5,25,21,8,14,3,0,8,0,5,1,8,0,2,8,3,7,0,6,5,2,7,0,0,1,1,14,1,0,1,0,8,0,3
60,2006,4986.,4232.5,6000,Co,16.248,-4.8622,7.05635,46,7,54,15,6,6,20,11,9,0,4,0,14,7,2,2,2,3,2,2,1,3,0,0,1,1,0,7,5,4,0,5,0,0,2,1,1,5,3,0,1,1,1,5,1,1,1,0,0,0
60,2012,4986.,4232.5,6000,Co,18.515,-3.0461,7.2865,29,2,65,11,8,8,27,18,26,0,2,2,2,21,1,1,0,6,13,1,5,2,0,5,4,0,0,7,3,1,0,6,0,0,0,1,0,0,1,0,5,1,0,12,0,2,0,0,0,1
60,2009,4986.,4232.5,6000,Co,15.608,-2.8289,7.6445,40,4,74,13,2,9,23,19,8,0,0,0,3,12,1,6,3,3,7,3,2,3,0,1,1,0,0,6,3,2,0,2,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0
60,2014,4986.,4232.5,6000,Co,16.957,-1.5472,8.02265,43,3,39,5,4,10,16,14,17,0,1,0,0,13,3,0,0,4,9,1,20,1,0,8,2,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2013,4986.,4232.5,6000,Co,15.269,-4.7378,8.1775,41,1,61,6,11,21,46,13,29,0,0,4,8,28,0,1,0,7,9,3,6,3,0,6,4,0,0,17,2,1,0,3,1,0,0,0,0,0,3,1,2,0,1,4,0,2,2,0,0,0
60,2010,4986.,4232.5,6000,Co,14.972,-7.97,7.46115,34,0,72,6,6,7,24,12,11,2,3,3,1,19,0,7,3,3,8,1,6,1,0,1,3,0,0,9,3,2,0,0,0,0,0,0,0,1,2,0,0,2,0,5,0,1,0,0,0,0
60,2011,4986.,4232.5,6000,Co,17.395,-7.9378,7.70115,33,1,91,7,4,6,22,16,5,0,0,3,3,11,0,4,1,3,8,1,2,1,1,2,2,1,0,3,3,1,0,0,0,0,0,0,0,1,2,2,0,0,0,2,1,2,0,0,0,0
